Word,Count,Translation,Hiragana Reading,Category
消え,2,to disappear,きえ,名詞
消す,1,to erase,けす,名詞
涙,3,tears,なみだ,名詞
涼しい,1,cool,すずしい,名詞
涼しく,3,cool,すずしく,名詞
深,2,deep,ふか,名詞
渡る,2,to cross over,わたる,名詞
温,2,warm,あたた,名詞
温もり,1,warmth,ぬくもり,名詞
準備,1,preparation,じゅんび,名詞
溜まっ,1,,,名詞
溶け,1,,とけ,名詞
溶け,1,to melt,とけ,名詞
溶ける,2,to melt,とける,名詞
滲む,2,to run(a liquid),にじむ,名詞
澄み渡る,1,to be perfectly clear,すみわたる,名詞
火,1,fire,ひ,名詞
灯し,1,,ともし,名詞
灰,1,ash,はい,名詞
灰,1,ashes,はい,名詞
炎,1,flame,えん,名詞
点,1,point,てん,名詞
無い,2,not,ない,名詞
無く,1,to lose,なく,名詞
無上,1,supreme,むしょう,名詞
無意,1,unintentional,むい,名詞
無我,1,selflessness,むが,名詞
無数,1,innumerable,むよう,名詞
無敵,1,invincible,むてき,名詞
無視,2,disregard,むし,名詞
照ら,1,to shine,てら,名詞
熱,1,heat,ねつ,名詞
燃え,1,burn,もえ,名詞
燃える,2,to burn,もれる,名詞
燃える,1,to burn,もえる,名詞
燃えろ,4,to burn,もえろ,名詞
片付ける,1,to put away,かたずける,名詞
物,30,thing,もの,名詞
物質的,2,material,ぶっしつてき,名詞
特に,3,particularly,とくに,名詞
現代,1,present age,げんだい,名詞
理屈,1,theory,りくつ,名詞
理由,1,reason,りゅう,名詞
甘く,1,sweet,あまく,名詞
生き,5,life,いき,名詞
生き,3,to live,せいき,名詞
生き,1,life,せいき,名詞
生きる,4,to live,いきる,名詞
生ま,1,to give birth,うま,名詞
生まれ,1,birth,うまれ,名詞
生まれる,1,to be born,うまれる,名詞
生命,2,life,せいめい,名詞
用,1,business,よう,名詞
疎遠,3,estrangement,そえん,名詞
疲れ,2,tiredness,つかれ,名詞
白い雪,1,white snow,しろいゆき,名詞
皆,15,everyone,みなん,名詞
目,10,eye,め,名詞
目指す,1,to aim at,みぎす,名詞
目覚め,1,to wake up,めぎ,名詞
相合い傘,1,sharing an umbrella,あいあいがさ,名詞
相手,1,companion,あいて,名詞
県,1,prefecture,けん,名詞
真冬,1,dead of winter,まふゆ,名詞
真夏,1,middle of summer,まなつ,名詞
真実,1,truth,しんじつ,名詞
眩しい,1,dazzling,まぶしい,名詞
瞑想,5,meditation,めいそう,名詞
瞬,1,moment,しゅんかん,名詞
瞬き,2,blink,まばた,名詞
瞬き,1,blink,まばたさ,名詞
瞳,3,pupil(of the eye),ひとみ,名詞
知,4,know,し,名詞
知ら,1,to know,しら,名詞
知り,1,to know,しり,名詞
短く,1,short,みじかく,名詞
短期間,1,for a short time,たきかん,名詞
研究,2,research,けんきゅう,名詞
砕,1,smash,くだ,名詞
砕ける,1,to break,くだける,名詞
砲火,1,gunfire,ほうか,名詞
破壊,1,destruction,はかい,名詞
破滅,2,ruin,はめつ,名詞
確かめる,1,to make sure,たしめる,名詞
社会,1,society,しゃかい,名詞
神様,3,god,かみさま,名詞
私,29,I,わたし,名詞
私,1,I,わたし,名詞
私考,1,one's own thoughts,しこう,名詞
秋,21,autumn,あき,名詞
秒,2,second,ひょう,名詞
秘訣,1,secret,ひけつ,名詞
移る,1,,,名詞
程度,2,degree,ていど,名詞
種握り,1,seed,しゅ,名詞
空,4,sky,そら,名詞
空,3,sky,そら,名詞
立ち上がる,1,to stand up,たちあがる,名詞
立ち止まっ,1,to stop,たちどまる,名詞
立つ,1,to stand,たつ,名詞
笑い合え,1,to laugh,わらいあえ,名詞
笑い声と,1,laughing,わるいこえと,名詞
笑顔,1,smile,えがお,名詞
答え,1,answer,ごたえ,名詞
答こ,1,answer,こたえ,名詞
箱,5,box,はこ,名詞
簡単,3,easy,かんたん,名詞
約,1,approximately,やく,名詞
紙,3,paper,かみ,名詞
素っ気,1,cold or short,そっけ,名詞
終り,2,end,おわり,名詞
終わり,1,to end,おわり,名詞
続く,1,to continue,つずく,名詞
緒,1,,,名詞
練習,3,practice,れんしゅう,名詞
繋がり,2,connection,つながり,名詞
繰り,4,to reel,かり,名詞
繰り返さ,1,,,名詞
置い,2,to place,おい,名詞
翔る,2,to soar,かける,名詞
翼,2,wing,つばさ,名詞
考,7,thought,こう,名詞
者,1,,,名詞
聞い,5,hear,きい,名詞
聞かす,1,to let someone hear,きかす,名詞
聞く,4,to hear,きく,名詞
聞こえる,1,to be able to hear,きこえる,名詞
聞こえる,1,to be heard,きこえる,名詞
聴,7,listen,き,名詞
背い,1,to run counter to,そむい,名詞
胸,1,chest,むね,名詞
脳,1,brain,のう,名詞
腐っちゃう,1,to rot,くさちゃう,名詞
自信,1,self-confidence,じしん,名詞
自分,32,self,じぶん,名詞
自分,1,self,じぶん,名詞
自然,4,nature,じぜん,名詞
自由,1,freedom,じゆう,名詞
興味,1,interest,きょうみ,名詞
舞い,4,dancing,まい,名詞
舞い上がれ,1,to soar,まいあがる,名詞
舞い落ちる,1,to flutter down,まいおちる,名詞
舞い降りる,2,to swoop down,まいおりる,名詞
色んな,4,various,いろんな,名詞
花火,2,fireworks,はなび,名詞
苦しい,1,painful,くるしい,名詞
苦しめ,2,suffering,くりしめ,名詞
英語,2,English language,えいご,名詞
落ち,3,slip,おち,名詞
落ち着か,1,to calm down,おちちゃうか,名詞
蒼い,1,blue,あおい,名詞
蔑ろ,2,ridicule,ないがし,名詞
虚勢,1,to bluff,きょせい,名詞
虹,2,rainbow,にじ,名詞
行,2,going,こう,名詞
行こう,1,going,ぎょうこう,名詞
街明かり,1,street lights,みちあじ,名詞
裏,1,back,うら,名詞
見,13,see,み,名詞
見え,2,see,みえ,名詞
見え,1,to see,みえ,名詞
見える,2,to see,みえる,名詞
見つめ,2,to stare,みつめ,名詞
見つめ,1,to stare at,みつめ,名詞
見付け出す,1,to find out,みつけだす,名詞
見直し,1,review,みなおし,名詞
見直す,2,to look at again,みなおす,名詞
見落,1,overlook,みおとし,名詞
見送る,1,to see someone off,みおくる,名詞
覚,1,memorize,おぼえ,名詞
覚え,1,memory,おぼえ,名詞
